Datetime,site_name,CI0_cm,CI1_cm,Iclr,I,k,HR,CI0_ov,CI1_ov
2023-02-14 08:30:00+07:00,ISL033,0.3372549019607843,0.4862745098039215,305.9552037032649,368.3917,1.2040707121206218,8,0.0039215686274509,0.0
2023-02-14 09:00:00+07:00,ISL033,0.3372549019607843,0.3372549019607843,420.5251728117379,490.0943,1.1654339185526166,9,0.0078431372549019,0.0039215686274509
2023-02-14 09:30:00+07:00,ISL033,0.3411764705882353,0.3372549019607843,526.5177984374363,542.7355,1.030801810709331,9,0.0,0.0078431372549019
2023-02-14 10:00:00+07:00,ISL033,0.3803921568627451,0.3411764705882353,620.7580127501586,675.6424,1.0884151088226566,10,0.0,0.0
2023-02-14 10:30:00+07:00,ISL033,0.3529411764705882,0.3803921568627451,700.9417576772263,772.0386,1.1014304563026374,10,0.0039215686274509,0.0
2023-02-14 11:00:00+07:00,ISL033,0.3215686274509804,0.3529411764705882,765.3129390689339,790.5837,1.0330201668376469,11,0.0078431372549019,0.0039215686274509
2023-02-14 11:30:00+07:00,ISL033,0.3137254901960784,0.3215686274509804,812.5462231508379,769.9136,0.9475320641015104,11,0.0156862745098039,0.0078431372549019
2023-02-14 12:00:00+07:00,ISL033,0.3019607843137254,0.3137254901960784,841.7029365021807,800.4358,0.9509718515731068,12,0.0313725490196078,0.0156862745098039
2023-02-14 12:30:00+07:00,ISL033,0.2980392156862745,0.3019607843137254,852.2149474822,787.4929,0.9240543155533516,12,0.0862745098039215,0.0313725490196078
2023-02-14 13:00:00+07:00,ISL033,0.3607843137254902,0.2980392156862745,843.8792792464526,796.7654,0.9441698825825856,13,0.1137254901960784,0.0862745098039215
2023-02-14 13:30:00+07:00,ISL033,0.2901960784313726,0.3607843137254902,816.8568083513064,872.2017,1.0677534802707935,13,0.1058823529411764,0.1137254901960784
2023-02-14 14:00:00+07:00,ISL033,0.3058823529411765,0.2901960784313726,771.6732721304339,612.7628,0.7940702653965009,14,0.1098039215686274,0.1058823529411764
2023-02-14 14:30:00+07:00,ISL033,0.3058823529411765,0.3058823529411765,709.2239670394501,696.7955,0.9824759630003326,14,0.1254901960784313,0.1098039215686274
2023-02-14 15:00:00+07:00,ISL033,0.3333333333333333,0.3058823529411765,630.7880306770066,628.6034,0.9965366643456092,15,0.1058823529411764,0.1254901960784313
2023-02-14 15:30:00+07:00,ISL033,0.2862745098039215,0.3333333333333333,538.0678004834259,548.8206,1.0199840977417962,15,0.0823529411764705,0.1058823529411764
2023-02-14 16:00:00+07:00,ISL033,0.2784313725490196,0.2862745098039215,433.2934304532327,395.2436,0.9121846125997528,16,0.0392156862745098,0.0823529411764705
2023-02-15 08:00:00+07:00,ISL033,1.0,1.0,189.8122863609024,28.49385,0.1501159411031106,8,0.6784313725490196,0.7568627450980392
2023-02-15 08:30:00+07:00,ISL033,0.9294117647058824,1.0,308.21524712518726,21.92578,0.0711378823874162,8,1.0,0.6784313725490196
2023-02-15 09:00:00+07:00,ISL033,0.9607843137254902,0.9294117647058824,423.0056114011094,17.09632,0.040416295999886,9,1.0,1.0
2023-02-15 09:30:00+07:00,ISL033,0.9176470588235294,0.9607843137254902,529.176010864527,11.39754,0.0215382779377689,9,1.0,1.0
2023-02-15 10:00:00+07:00,ISL033,1.0,0.9176470588235294,623.5615387869599,15.64748,0.025093722153614,10,1.0,1.0
2023-02-15 10:30:00+07:00,ISL033,1.0,1.0,703.8614657242676,22.11896,0.0314251611675314,10,1.0,1.0
2023-02-15 11:00:00+07:00,ISL033,0.9882352941176472,1.0,768.3205911749349,29.16998,0.0379658964435569,11,1.0,1.0
2023-02-15 11:30:00+07:00,ISL033,0.996078431372549,0.9882352941176472,815.6136173272781,34.09604,0.0418041573554532,11,1.0,1.0
2023-02-15 12:00:00+07:00,ISL033,1.0,0.996078431372549,844.8016991772761,59.20926,0.0700865777822912,12,1.0,1.0
2023-02-15 12:30:00+07:00,ISL033,1.0,1.0,855.3166161732539,138.5091,0.1619389795321636,12,0.9725490196078432,1.0
2023-02-15 13:00:00+07:00,ISL033,1.0,1.0,846.9555077702878,192.7923,0.2276297848366898,13,0.9411764705882352,0.9725490196078432
2023-02-15 13:30:00+07:00,ISL033,0.9215686274509804,1.0,819.8796058874246,157.1508,0.1916754592644154,13,1.0,0.9411764705882352
2023-02-15 14:00:00+07:00,ISL033,0.8666666666666667,0.9215686274509804,774.61521898919,163.3326,0.2108564303876391,14,1.0,1.0
2023-02-15 14:30:00+07:00,ISL033,0.8980392156862745,0.8666666666666667,712.0583287377458,195.0139,0.2738734905968981,14,0.9686274509803922,1.0
2023-02-15 15:00:00+07:00,ISL033,0.9568627450980391,0.8980392156862745,633.488627842282,217.8089,0.3438244830722159,15,0.8274509803921568,0.9686274509803922
2023-02-15 15:30:00+07:00,ISL033,0.9411764705882352,0.9568627450980391,540.608340500124,197.332,0.3650184157674029,15,0.6666666666666666,0.8274509803921568
2023-02-15 16:00:00+07:00,ISL033,0.7686274509803922,0.9411764705882352,435.64556309594303,142.3727,0.3268085619608273,16,0.7450980392156863,0.6666666666666666
2023-02-16 08:30:00+07:00,ISL033,0.6705882352941176,0.6470588235294118,310.5375325613718,74.1806,0.2388780492591169,8,0.8901960784313725,0.6823529411764706
2023-02-16 09:00:00+07:00,ISL033,0.7607843137254902,0.6705882352941176,425.5432064444095,113.7822,0.267381075004575,9,0.4941176470588235,0.8901960784313725
2023-02-16 09:30:00+07:00,ISL033,0.792156862745098,0.7607843137254902,531.8850066421229,145.0771,0.2727602737213735,9,0.4078431372549019,0.4941176470588235
2023-02-16 10:00:00+07:00,ISL033,0.788235294117647,0.792156862745098,626.4086420029957,184.872,0.2951300279141358,10,0.4431372549019607,0.4078431372549019
2023-02-16 10:30:00+07:00,ISL033,0.8784313725490196,0.788235294117647,706.8169892769297,258.2799,0.3654126936934821,10,0.4470588235294118,0.4431372549019607
2023-02-16 11:00:00+07:00,ISL033,0.803921568627451,0.8784313725490196,771.3559525411596,389.4482,0.5048877871714084,11,0.4431372549019607,0.4470588235294118
2023-02-16 11:30:00+07:00,ISL033,0.7098039215686275,0.803921568627451,818.700452797385,591.7063,0.7227384545571245,11,0.5058823529411764,0.4431372549019607
2023-02-16 13:00:00+07:00,ISL033,0.788235294117647,0.7137254901960784,850.027060961637,740.1641,0.8707535724364482,13,0.4117647058823529,0.4117647058823529
